assets,assets_check,billsred,capital,cchdufrm,circulation,city,county,diff,diff1,diffA,diffL,fips,id,id_old,liabs_check,loans,name,otherassets,otherliabs,othsec,profits,surpro,totdep,ussec,year,loanAssetRatio
1522096,1522096,0.0,100000,598351,0.0,Salisbury,Rowan,0.0,0.0,,,37159,1053,,1522096,274335,first,80974,0.0,200828,62629.0,40250.0,1319217,367608.0,1939,0.18023501802777223
1414990,1414990,0.0,79850,898764,0.0,Sanford,Lee,0.0,0.0,,,37105,1109,,1414990,247197,nb,10600,2808.0,210829,7670.0,17000.0,1307662,47600.0,1939,0.17469876112198673
3403303,3403303,0.0,250000,1485697,0.0,Shelby,Cleveland,0.0,0.0,,,37045,1054,,3403303,1165290,first,37886,12593.0,210897,76661.0,250000.0,2814049,503533.0,1939,0.34239972168214233
2674743,2674743,0.0,100000,781738,0.0,Thomasville,Davidson,0.0,0.0,,,37057,1058,,2674743,903955,first,115628,12911.0,720031,80901.0,150000.0,2330931,153391.0,1939,0.337959572190674
1662292,1662292,0.0,100000,814053,0.0,Wadesboro,Anson,0.0,0.0,,,37007,1059,,1662292,490095,first,25188,7250.0,53127,22567.0,88000.0,1444475,279829.0,1939,0.2948308720730173
1002461,1002461,0.0,50000,401331,0.0,Waynesville,Haywood,0.0,0.0,,,37087,1062,,1002461,188606,first,11992,13000.0,373388,68277.0,50000.0,821184,27144.0,1939,0.18814298012591013
583206,583206,0.0,25000,245849,0.0,West Jefferson,Ashe,0.0,2.0,,,37009,1063,,583208,282879,first,5613,0.0,14470,19356.0,27000.0,511852,34395.0,1939,0.48504130615940166
3638412,3638412,0.0,100000,2110880,0.0,Wilson,Wilson,0.0,0.0,,,37195,1110,,3638412,716056,national ,3680,1100.0,456235,136312.0,100000.0,3301000,351561.0,1939,0.19680454000261652
3638412,3638412,0.0,100000,2110880,0.0,Wilson,Wilson,0.0,0.0,,,37195,1110,,3638412,716056,national ,3680,1100.0,456235,136312.0,100000.0,3301000,351561.0,1939,0.19680454000261652
495986,495986,0.0,50000,212045,0.0,Cherryville,Gaston,0.0,0.0,,,37071,1201,,495986,205178,Cherryville,20515,0.0,37619,11590.0,10000.0,424396,20629.0,1939,0.41367699894755094
2414070,2414070,0.0,200000,870895,0.0,Gastonia,Gaston,0.0,0.0,,,37071,1202,,2414070,1037382,nb of commerce,102698,5372.0,133295,25172.0,50000.0,2133526,269800.0,1939,0.42972324746175544
5617843,5617843,0.0,200000,2031788,0.0,Greensboro,Guilford,0.0,0.0,,,37081,1203,,5617843,1793839,guilfo,22172,31705.0,631544,58555.0,200000.0,5127583,1138500.0,1939,0.31931098822092396
4876874,4876874,0.0,200000,3050268,0.0,Winston-Salem,Wilson,0.0,0.0,,,37195,1204,,4876874,1398896,first,20083,31000.0,7600,69009.0,55000.0,4521865,400027.0,1939,0.28684276034197315
875416,875416,0.0,75000,176466,0.0,addison,Steuben,,,0.0,0.0,36101,1002,,875416,430868,first,24221,563.0,164716,6522.0,24300.0,769031,79145.0,1939,0.492186571869831
814188,814188,0.0,84600,103671,0.0,afton,Chenango,,,0.0,0.0,36017,1003,,814188,483922,first,16745,0.0,130794,33970.0,24000.0,671618,79056.0,1939,0.5943614988184547
82747756,82747756,0.0,1500000,32420679,0.0,albany,Albany,,,0.0,0.0,36001,1004,,82747756,15822991,national commercial bank and tc,1352313,209265.0,10762837,2126903.0,5000000.0,73911588,22388936.0,1939,0.1912195782082598
732930,732930,0.0,50000,109209,0.0,altamont,Albany,,,0.0,0.0,36001,1009,,732930,456165,first,9593,10.0,111910,17551.0,39500.0,625869,46053.0,1939,0.6223854938397937
